"Location","Target","Point Est","Actual Value","Log Score","Absolute error"
"US National","Start week","3","3","0","0"
"US National","Peak week","10","10","0","0"
"US National","Peak intensity","3.4875928616034","3.5303","0","0.042707138396604"
"US National","Forecast","1.48652985616263","1.37377","0","0.112759856162634"
"US National","Forecast","1.43406371108865","1.29697","0","0.13709371108865"
"US National","Forecast","1.38712514456444","1.18567","0","0.20145514456444"
"US National","Forecast","1.34201699742382","1.14207","0","0.199946997423816"
