"Location","Target","Point Est","Actual Value","Log Score","Absolute error"
"US National","Start week","50","3","-Inf","5"
"US National","Peak week","9","10","0","1"
"US National","Peak intensity","3.32876770517272","3.5","0","0.2"
"US National","Forecast","1.44070310100304","1.4","0","0"
"US National","Forecast","1.32792884250879","1.3","0","0"
"US National","Forecast","1.23919941039627","1.2","0","0"
"US National","Forecast","1.16989721275853","1.1","0","0.0999999999999999"
