region,model,prior,chain,baseline,coupled
1,4,1,2,0.5,0
2,3,4,1,0.7,0
3,4,1,2,0.5,0
4,3,4,3,0.5,0
5,2,1,3,0.7,0
6,3,0,2,0.7,0
7,2,1,3,0.5,0
8,2,1,2,0.5,0
9,4,1,3,0.3,0
10,2,1,1,0.5,0
