"Location","Target","Point Est","Actual Value","Log Score","Absolute error"
"US National","Start week","3","3","0","0"
"US National","Peak week","10","10","0","0"
"US National","Peak intensity","3.4875928616034","3.5","0","0"
"US National","Forecast","1.48652985616263","1.4","0","0.1"
"US National","Forecast","1.43406371108865","1.3","0","0.0999999999999999"
"US National","Forecast","1.38712514456444","1.2","0","0.2"
"US National","Forecast","1.34201699742382","1.1","0","0.2"
