"","mean","sd"
"t0",224.389114756643,6.03280008736922
"pC",0.0604331469462242,0.0113181730852629
"R0",1.1913111180435,0.0180747074035154
"seed",7.67910295651283,0.0565675635607502
"e_nonflu",2453.57476731289,34.0522270461846
"delta",-0.150233214905049,0.0510285992162137
"ts",256.205791520484,2.29552797965458
"dur",69.5230751508548,1.48132451224649
"AICc",1442.53735635447,0
"t0",323.701800499433,64.9774817657722
"pC",0.00869372697662236,0.005174660573044
"R0",1.15844455177401,0.0183875755735362
"seed",5.88134809187901,0.0861662324361397
"e_nonflu",30315.8758680556,1028.26301883817
"delta",-0.194296461656506,0.0574960927767022
"ts",303.536918357567,6.00841309744009
"dur",32.8530158996582,1.41200314281063
"AICc",30402.6383085029,0
"t0",196.050449701003,7.91282728053168
"pC",0.0356976170391764,0.01045141465797
"R0",1.03536944256888,0.054945699194439
"seed",4.7486883799235,0.0966746723869641
"e_nonflu",22327.0391107253,274.574778256416
"delta",-0.227038141972397,0.072004227198297
"ts",237.586805367175,4.12425082513066
"dur",42.954072928723,2.02118276137416
"AICc",77985.5074491279,0
"t0",201.791170661832,7.55774383170128
"pC",0.136614099328901,0.00753460468930692
"R0",1.09615393185321,0.00958791688736583
"seed",6.75350238658764,0.0569716496245185
"e_nonflu",5875.74911385995,757.171204437625
"delta",0.603252705968456,0.107476423828712
"ts",256.914536275981,6.61662444329192
"dur",32.9464828349926,3.49224212061728
"AICc",66752.8277616279,0
"t0",198.805059550721,6.15961475017371
"pC",0.0474448528508713,0.0074936553968433
"R0",1.03868185664401,0.0308564787068534
"seed",7.75921302371555,0.112522087981443
"e_nonflu",21754.0008680556,235.746654588992
"delta",-0.395841539090062,0.122482709989149
"ts",263.773315052927,1.57049893028887
"dur",55.0789872628671,1.50747198802277
"AICc",11556.6451444404,0
"t0",186.625114723488,2.63603864510373
"pC",0.0938193292161565,0.00648893355514469
"R0",1.21082902690511,0.0335321251910854
"seed",8.46837597128786,0.150793117281102
"e_nonflu",23048.061945409,930.901272176495
"delta",-0.0145550143363155,0.0408914499964427
"ts",302.058116394797,1.83316336051601
"dur",69.9711789731626,3.31332889967558
"AICc",44386.7301053779,0
"t0",190.171808690201,4.5319559999436
"pC",0.0746153815660948,0.00547145211217421
"R0",1.21750885027426,0.0440057174938334
"seed",7.84155053268244,0.06765340404245
"e_nonflu",683.169593340085,42.0404728083632
"delta",-0.438178226351738,0.0857739152888683
"ts",326.002269603588,4.35444237560577
"dur",70.8309060555917,1.29430890807408
"AICc",3845.79382608103,0
"t0",194.084089114342,4.71174316954234
"pC",0.0715433837454996,0.00905232300457935
"R0",1.15142984449128,0.0407454856708616
"seed",5.18069989004253,0.0924407023512147
"e_nonflu",3512.36483048804,86.2500848172775
"delta",0.0208684717600355,0.0858703316286536
"ts",309.141510009766,1.89257987055283
"dur",12.9648751035149,2.18664500313779
"AICc",9208.08459756541,0
"t0",190.062929883415,5.73591418215442
"pC",0.0584733712452429,0.0112371947254524
"R0",1.14163785216249,0.021922652394387
"seed",1.80939740163309,0.133262067373967
"e_nonflu",21742.138117284,1016.94422932237
"delta",-0.346096268222656,0.0772303103766036
"ts",249.618378439067,1.69030981286447
"dur",36.1075729323022,2.7788084517394
"AICc",50013.7535428779,0
"t0",207.702542905454,3.83466297148357
"pC",0.0404665760557961,0.0158252212338392
"R0",1.18140329990858,0.0511913146894213
"seed",2.73587703999178,0.104506646276365
"e_nonflu",2832.41087058738,49.3822775402731
"delta",-0.155561453674311,0.0457331077154244
"ts",287.451790138527,1.43456389006371
"dur",66.7666408868484,2.92018885744952
"AICc",8821.48010537791,0
"t0",186.908678784782,3.66068643106444
"pC",0.0471263164769352,0.00866151574895627
"R0",1.13792377048069,0.0192469832095201
"seed",5.77710031580042,0.100210170456836
"e_nonflu",144939.234567901,6509.51985887718
"delta",0.562518335694884,0.200356300030978
"ts",320.323673201196,1.54531869774759
"dur",15.0208932264352,1.50991855822964
"AICc",1573.98604462607,203.040982290628
