"","mean","sd"
"t0",343.194565007716,5.50377652686521
"pC",0.0368360390219791,0.0102420156577598
"R0",1.27054264957522,0.0201003563913113
"seed",2.12879050219501,0.0894583387062328
"e_nonflu",4339.33831259645,121.415441385224
"delta",-0.34141770520328,0.0713269432633335
"ts",266.305467770423,2.69745298968425
"dur",32.130661552335,2.44254338178564
"AICc",6043.83948037791,0
"t0",203.445063273112,5.69007222877718
"pC",0.126223234022841,0.0195312156933231
"R0",1.10728290934622,0.0289550218218786
"seed",8.33237185301604,0.134369834031777
"e_nonflu",9137.14222849151,417.112568040238
"delta",0.234421306554182,0.0376478444632543
"ts",294.791215684679,2.63974371659242
"dur",43.9220914016535,4.01734148144425
"AICc",75294.5074491279,0
"t0",228.039925280912,6.35827565888819
"pC",0.09287401928026,0.0152285360213325
"R0",0.847038213853483,0.0285972923029674
"seed",5.74847626391752,0.197311395045416
"e_nonflu",14563.2362798997,194.648756366722
"delta",0.144411697075415,0.0579740553482589
"ts",301.31564933871,2.03599535667543
"dur",62.7679522008072,2.55853659072764
"AICc",36225.5269803779,0
"t0",212.631522284614,7.9581157011352
"pC",0.0657364349398348,0.0115762070810715
"R0",1.03607521822423,0.0343205562999812
"seed",1.39420592049022,0.113347776085233
"e_nonflu",24776.286482446,412.142959591973
"delta",0.202559229584388,0.0208231555851995
"ts",287.191201292438,1.78337856366884
"dur",208.687759211034,0.914306915852621
"AICc",52972.8902616279,0
"t0",354.012049168716,1.76620979018438
"pC",0.0784566161441214,0.0125869782964287
"R0",0.932037515404784,0.0350980247341627
"seed",3.21120122038288,0.226112426290008
"e_nonflu",12152.022738233,324.010486320809
"delta",0.206252252016171,0.119829288618538
"ts",258.445129582911,2.61536142471562
"dur",6.81807225409113,22.8328291355035
"AICc",26332.1148710029,0
"t0",190.592509705343,3.52658677028437
"pC",0.162812606420046,0.0322389294841903
"R0",1.17013175546387,0.0429091533149046
"seed",4.70424320079662,0.112266420344131
"e_nonflu",14987.268241223,325.861276612213
"delta",-0.519122776793845,0.0341706842790106
"ts",307.906888231819,4.26843972669828
"dur",15.712334173697,2.21328190073425
"AICc",117500.257449128,0
"t0",233.188484662845,4.56192188575559
"pC",0.0475864898597385,0.0170459860658341
"R0",1.19584032341286,0.0235493833607317
"seed",7.50069783646383,0.115917437242915
"e_nonflu",1843.96167745708,43.0487675383047
"delta",-0.182117803597156,0.0388669145570904
"ts",302.669001826534,2.46576353389925
"dur",62.871694823842,2.6602030339856
"AICc",33986.0543241279,0
"t0",190.258167408131,3.92527289620107
"pC",0.00748294075292731,0.00534581988618355
"R0",1.56463993773048,0.0479754953593325
"seed",3.49311331466392,0.0584209484664896
"e_nonflu",2098.20184702932,26.1999018783352
"delta",-0.176846379023275,0.0723526942284836
"ts",270.189287727262,3.51846604403438
"dur",20.8720148698783,2.36950183066283
"AICc",18267.8492460029,0
"t0",331.306375762563,6.51081287303736
"pC",0.0587397102772454,0.0111130691895118
"R0",1.19596246583962,0.0203252115812724
"seed",7.71484397958826,0.123647452351052
"e_nonflu",23221.6768422068,291.198003592705
"delta",-0.0842915864454375,0.0238990083113668
"ts",349.007937207634,1.98793149350958
"dur",50.4661381097487,1.70598044537976
"AICc",12988.8326444404,0
"t0",185.512211929133,2.64067879500918
"pC",0.0698171475971187,0.0165470595692213
"R0",1.12656304129848,0.0329515101470754
"seed",5.52968075245987,0.100783247827667
"e_nonflu",271.665728156949,26.043091828312
"delta",-0.381052988178936,0.130699062223203
"ts",292.924246705609,2.67328881202492
"dur",25.0179007023941,1.98058249854333
"AICc",4521.17883584666,0
"t0",194.515068336769,6.12310718868096
"pC",0.0587541660132967,0.012012912590809
"R0",1.122654258469,0.0180626097576223
"seed",88.5007293136032,2.56377799993529
"e_nonflu",140134.753568673,5620.88379964764
"delta",0.611537054606518,0.338464966205684
"ts",235.943505369587,1.11127483248805
"dur",8.20460513786033,0.863138858177862
"AICc",1271.3340113265,237.424023497495
