"Location","Target","Point Est","Actual Value","Log score","Absolute error"
"US National","Start week","48","50","-1.70104764961304","2"
"US National","Peak week","2","52","-3.02990017631265","2"
"US National","Peak intensity","3.6","3.37442","-0.579712579784676","0.22558"
"US National","Forecast","2","1.9607","-3.33066907387547e-16","0.0392999999999999"
"US National","Forecast","2.3","1.86459","-0.00670562250011818","0.43541"
"US National","Forecast","2.7","1.98632","-0.676155013651597","0.71368"
"US National","Forecast","3.1","2.23643","-0.931011268118027","0.86357"
