"Location","Target","Point Est","Actual Value","Log score","Absolute error"
"US National","Start week","50","50","0","0"
"US National","Peak week","6","52","-10","6"
"US National","Peak intensity","3.4","3.37442","-0.177712810598893","0.0255799999999997"
"US National","Forecast","2.4","3.19866","-2.3323836630776","0.79866"
"US National","Forecast","2.7","3.30078","-1.39774365081074","0.60078"
"US National","Forecast","2.9","0",NA,NA
"US National","Forecast","3.1","0",NA,NA
