"Location","Target","Point Est","Actual Value","Log score","Absolute error"
"US National","Start week","47","50","-10","3"
"US National","Peak week","1","52","-2.04794287462046","1"
"US National","Peak intensity","4.1","3.37442","-0.689155159290408","0.725579999999999"
"US National","Forecast","1.8","1.5931","0","0.2069"
"US National","Forecast","2","1.69128","0","0.30872"
"US National","Forecast","2.3","1.9607","0","0.3393"
"US National","Forecast","2.6","1.86459","-4.50986000618377","0.73541"
