"X1" "date" "X0" "X23708" "X80913" "X78236" "X92134" "X23665" "X92055" "X29207" "X99506" "X78234" "X32542" "X42223" "X79920" "X23511" "X76544" "X22134" "X89191" "X28547" "X98431" "X94535" "X28310" "X32214" "X30905" "X20762" "X60088" "X85309" "X40121" "X22060" "X39534" "X23801" "X29905" "X66442" "X23604" "X32228" "X92278" "X20889" "X83648" "X96859" "X9180" "X31314" "X65473" "X36112" "X29152" "X87117" "X96319" "X96350" "X99011" "X57706" "X78843" "X31905" "X84056" "X71459" "X76311" "X96362" "X92140" "X36608" "X33621" "X20307" "X98278" "X80914" "X28545" "X92136" "X99703" "X29902" "X68113" "X98433" "X32509" "X73145" "X79607" "X85613" "X45433" "X73503" "X92145" "X9042" "X28542" "X88103" "X98312" "X67221" "X58705" "X9630" "X13602" "X65305" "X80840" "X32925" "X85707" "X29404" "X19902" "X28533" "X92106" "X93246" "X96857" "X96863" "X96278" "X62225" "X27531" "X96853" "X23460" "X32212" "X32512" "X79918" "X9464"
"13" 13 "2009-03-23" 84 1 2 1 1 3 3 8 0 0 0 4 1 0 1 0 1 1 0 1 2 1 2 2 0 0 4 1 1 0 0 2 2 0 0 0 0 1 0 1 0 1 4 0 1 0 3 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 3 0 0
"14" 14 "2009-03-30" 57 3 0 2 1 0 1 7 1 0 0 1 0 0 1 0 0 1 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0
"15" 15 "2009-04-06" 55 1 2 4 1 3 1 7 0 0 1 0 1 0 0 0 0 3 2 1 0 3 0 0 0 0 1 2 1 0 2 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 16 "2009-04-13" 54 1 2 1 3 1 1 8 0 0 0 1 2 1 0 0 1 1 0 1 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"17" 17 "2009-04-20" 45 0 3 1 1 2 1 4 0 1 0 0 1 0 1 0 0 0 0 3 0 1 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1
"18" 18 "2009-04-27" 126 0 5 1 7 3 8 0 0 10 1 3 4 0 3 0 2 1 3 2 2 0 2 1 1 0 0 0 0 1 0 1 0 0 2 1 0 1 0 1 0 0 0 0 1 0 4 2 0 1 0 3 0 1 0 0 0 2 0 0 1 1 0 0 0 3 0 0 0 0 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 2 2 1 3 1 0 3 0 0 0 1 0 1 0 0
"19" 19 "2009-05-04" 87 0 3 0 3 2 6 2 1 1 2 0 1 0 0 0 1 2 1 1 3 0 1 0 6 1 1 0 4 0 0 2 0 1 1 0 0 4 0 1 1 1 0 0 1 1 3 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 1 1 0 0 1 0 0 0 1 0
"20" 20 "2009-05-11" 86 0 2 1 3 1 2 0 1 0 0 1 2 0 0 0 0 0 2 3 2 0 0 1 12 0 0 0 1 0 0 7 0 0 1 0 0 1 0 2 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 2 2 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0
"21" 21 "2009-05-18" 54 0 0 0 3 0 1 0 2 4 1 1 2 1 0 0 0 0 2 0 1 2 2 1 5 0 0 0 0 0 0 7 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0
"22" 22 "2009-05-25" 76 2 0 1 3 2 0 0 0 0 0 1 0 0 1 3 0 5 5 0 0 1 1 4 1 0 0 3 2 0 0 2 0 0 0 1 0 5 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"23" 23 "2009-06-01" 81 2 0 3 1 3 2 0 0 0 0 1 0 0 3 2 2 1 10 3 1 1 0 0 3 0 0 0 1 0 0 2 0 0 1 1 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" 24 "2009-06-08" 103 4 2 1 3 5 3 0 0 0 0 1 7 0 0 13 1 0 12 4 3 1 3 1 1 0 0 1 0 0 0 0 0 0 0 4 0 2 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 1 0 0
"25" 25 "2009-06-15" 156 6 3 0 12 4 9 5 0 6 1 0 5 0 1 3 0 5 3 3 1 1 1 1 1 0 0 4 0 2 2 3 2 1 7 0 0 1 1 1 0 0 0 0 0 0 3 0 3 0 0 0 0 1 0 0 1 1 0 0 0 1 0 5 1 1 2 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 6 1 1
"26" 26 "2009-06-22" 192 5 5 6 10 3 10 12 3 17 0 0 4 1 2 6 0 3 4 8 2 1 4 1 2 0 0 0 0 3 4 0 3 1 3 1 0 4 0 0 1 0 1 0 0 0 0 0 3 1 1 0 0 0 0 0 0 0 0 0 1 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 1 0 0 2 3 0 0 0 0 1 0 1 2 3
"27" 27 "2009-06-29" 205 3 2 6 14 3 15 30 2 17 1 0 1 0 7 1 0 7 2 9 3 1 4 0 1 0 0 3 0 0 2 2 0 0 2 2 0 17 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 6 0 0 1 0 0
"28" 28 "2009-07-06" 230 1 0 5 12 4 11 13 2 9 4 1 2 1 2 19 1 2 7 6 4 0 3 1 1 0 0 4 0 0 0 2 0 4 1 2 0 7 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0 5 0 1 4 2 0 1 1 0 1 0 2 1 0 0 0 0 0 1 0 0 0 5 0 0 0 0 1 0 1 3 0 0 1 0 3 5 12 1 0 2 6 0 0 2 0 0
"29" 29 "2009-07-13" 291 0 2 6 18 2 2 4 2 13 1 0 3 3 3 95 1 3 2 2 1 2 5 1 1 2 0 2 1 0 3 1 0 1 2 3 0 8 0 4 1 0 0 0 0 0 0 0 0 0 0 5 0 2 12 0 2 1 1 0 2 4 0 4 0 2 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 2 0 0 0 1 0 3 6 5 0 0 0 4 0 0 1 0 1
"30" 30 "2009-07-20" 241 1 0 4 15 1 6 3 3 17 1 1 0 0 8 9 2 2 1 7 0 7 8 2 0 0 4 1 1 0 1 1 0 0 0 0 0 9 16 0 0 2 1 1 0 0 0 0 6 0 0 11 0 2 5 0 2 1 0 0 3 7 0 5 0 1 0 0 0 0 0 1 0 0 1 0 1 2 0 1 0 0 1 1 2 0 0 0 0 2 7 5 0 2 0 2 0 0 0 1 1
"31" 31 "2009-07-27" 232 7 5 4 6 1 1 0 1 12 4 0 5 1 1 0 0 3 1 4 0 2 0 4 2 0 1 1 3 3 5 0 0 7 5 0 0 5 5 2 1 1 0 0 0 0 1 1 5 0 0 4 1 6 3 0 3 0 3 0 4 4 0 6 0 0 0 0 0 1 1 2 0 1 1 0 1 1 0 0 0 2 3 13 0 0 0 8 0 3 1 3 0 1 0 0 0 0 0 0 0
