"X" "weeks" "dates" "X23708" "X80913" "X78236" "X92134" "X23665" "X92055" "X99506" "X29207" "X78234" "X32542" "X42223" "X23511" "X76544" "X79920" "X22134" "X89191" "X28547" "X94535" "X98431" "X28310" "X32214" "X85309" "X30905" "X20762" "X22060" "X40121" "X39534" "X23801" "X29905" "X23604" "X32228" "X20889" "X92278" "X60088" "X9180" "X83648" "X66442" "X36112" "X87117" "X96859" "X65473" "X29152" "X31314" "X96319" "X96350" "X78843" "X84056" "X31905" "X57706" "X71459"
"27" 27 39 "2009-09-28" 8.99660799529299 31.8236755137986 57.2085783205196 13.3792399748732 10.5042338314697 12.2851212193594 38.3712504328657 8.87052611706509 16.7798201829908 30.9001048555506 34.4749478619639 5.4088071330248 30.8333564474596 3.83304565576367 1.18933053055036 9.95987760792994 8.17957951297776 8.78424556535013 5.55049610678659 12.1365634900815 16.0753515789605 1.90995638962452 14.2181874762035 6.22474914740952 2.71961214518861 6.84772036111948 6.56977065508513 12.4754521472156 10.482644938439 1.06544691348827 8.36155999270474 8.99350449435167 1.84575856933032 4.4789269307751 3.83238021306975 16.9977720048476 7.95807539397856 5.78795882734951 7.32604378564427 2.9061838218847 11.0051523318922 15.3296301487541 15.0191264806939 0.229412517512354 4.90017111424987 4.8408581225742 0.481467721166043 9.70127111705707 6.48435059648323 4.57258706316285
"28" 28 40 "2009-10-05" 25.9201885995156 66.6243066250322 53.4225447002701 18.9734670019587 23.133042127494 17.0777663243943 39.4336694744413 7.68240131494965 18.8558594037276 27.7311937417045 36.2220186583117 12.6695026393437 26.4658341508584 7.05438482351596 1.18933053045217 17.1156802918974 8.95185236132284 9.77026731880863 10.4623640966349 14.1428450607624 17.6870244299808 7.64046187449484 12.8091078347424 9.33973421144689 5.76692145967036 9.288626678148 7.96218770903028 15.1168743217765 13.0191919736573 2.49836799027064 8.82728352306994 11.378841290093 3.04877185017356 6.91388463898338 10.6741489144792 18.2760071155325 15.0453723773123 6.10319992901551 12.5090023026922 3.95323221760705 10.07263822454 17.292958363187 13.0685797639057 0.229412517512354 2.78828427774218 5.1819770937033 1.82547017863239 6.58523326038683 25.0221220396227 3.87430743356954
"29" 29 41 "2009-10-12" 78.3790549582502 106.318652977287 47.894562375852 25.4309249859071 49.7181913185199 22.9907404636424 38.0199189132705 6.65878712826439 18.1810522996532 24.5632192413929 35.8413168957029 27.543762943873 22.5317610621313 15.4576355358215 1.18933053044247 27.7475984053217 9.61356672725637 10.3639722996063 18.5093393374334 16.4661899019523 18.578835915636 63.8070386898482 11.2740994642143 13.8922095908854 14.8532180904395 13.8263343232846 9.6288652488185 16.9004991705757 14.9292238131946 6.06950379298524 9.09118450427948 13.9674789728371 5.09021631482339 10.1529432118477 22.5246977164505 17.4224914606674 22.2574720910505 6.26041843945838 19.3512950590874 5.18459386011808 8.9960520013177 17.887851511461 10.6062806230917 0.229412517512354 3.87205485243975 5.40567303610624 8.89535206236122 4.20978763959008 45.3116787128496 3.2884246001381
"30" 30 42 "2009-10-19" 158.400694117632 111.663833899271 41.4380327642394 31.3276683358136 81.8027963510962 29.3205279878328 34.5243674445923 5.77922441357052 15.266446272109 21.5135460684308 33.4636612042723 49.0609685770253 19.0706788295011 31.4161209033926 1.18933053044247 40.4843163580065 10.111796929793 10.4270860727295 27.5817917150999 17.2997522043916 18.5935357758232 53.2192018708686 9.72604577214984 20.3140928665888 35.3504625386954 18.7471505433747 11.6022058101389 17.298165832193 15.649307627111 14.1485562271359 9.12872109741866 16.5079115971695 8.26339294279009 13.8200134430732 28.074330798667 14.9000788416749 23.2913065682643 6.24369829082012 18.6160090382025 6.45968613497926 7.87120587348774 16.9601539671077 8.18488427804337 0.622494199067587 5.87793531890488 5.48966792265429 33.342957953511 2.63398575791616 29.7239276652038 2.7987421182517
"31" 31 43 "2009-10-26" 129.967555496366 79.1594316400882 34.8015521431383 34.7101167332946 67.0483634462884 34.7099978710646 29.7418877261178 5.02512884237127 11.578940000705 18.6650577816249 29.6359085976681 62.7767454346835 16.0641872639088 48.7672145261118 1.18933053044247 50.7079342957708 10.4033016346916 9.95541506388438 31.7139697312083 14.8085301928097 17.7435674938154 32.8408996904345 8.25059142083472 28.9010506867338 56.9953456687707 22.7012338342745 13.9073948687314 16.2174746934488 14.9701131866457 28.6551893384903 8.93816937261346 16.9455515199391 12.3585010247456 16.9851918438958 19.9626844379987 11.7117033178032 17.5400442551616 6.05670104062672 8.78045543956586 7.54157981253328 6.77527326191324 14.8432292519236 6.1223548815655 2.95710906069285 7.95028930874348 5.4262238553397 24.9226155214137 1.66527962080452 10.997336341267 2.39076386492729
"32" 32 44 "2009-11-02" 90.0699351266286 44.284622770312 28.5403633847154 34.2754989154782 47.811761239646 37.5781953853861 24.5321170182257 4.37982834867096 8.28700504507216 16.0687583718848 25.082048744375 54.985940145296 13.4797854542413 50.6176893419311 1.18933053044247 41.7558581301497 10.4622256108154 9.07651239098729 27.6069151393681 12.9227684296144 16.2017469016784 19.8647553926042 6.90350556584447 31.3998164529223 33.4559132850762 24.045726812269 16.5558963843556 14.0435789823352 13.1590821043409 40.5957559143908 8.54065663304718 14.0514667195838 16.1281737453077 18.4845101802935 9.99695054419305 8.70871253493233 10.6217526798571 5.72150781285091 4.43933296636143 8.165043493798 5.76146737056942 12.1376012458633 4.51811675512062 2.42097293100328 9.179782269246 5.223651774238 11.8939299645623 1.13637584239244 3.62020684860306 2.051746013163
"33" 33 45 "2009-11-09" 55.4245610168832 22.8126155949171 22.9845404490127 30.3495059140091 31.1223573740492 36.993821343662 19.5641363895007 3.82851492809191 5.83174341904338 13.7490729824584 20.4589331511985 35.6473487508086 11.2772934328701 36.1118122438114 1.18933053044247 12.5355812024603 10.2849151570187 7.98455592215049 19.2902566718177 11.2705082565411 14.2335534830769 11.9209196918797 5.71394024243549 23.9609191677556 17.9500682494348 22.2297188920249 13.7577542818832 11.3861385676344 10.7695454868258 13.5875218046677 7.9755110704987 11.5187147613454 17.6525340346462 17.7135789953983 4.37365219635266 6.30106851237652 5.82173657511396 5.27344458728534 2.5071485857145 8.16013571176503 4.86000195090788 9.40607331863937 3.341944495954 1.30985596015502 8.8816021998972 4.90422065415091 9.35770404137607 1.24039877565739 1.29829566746735 1.77063828095487
"34" 34 46 "2009-11-16" 32.180637512538 12.0865856519091 18.271919346746 24.5418189488455 19.3835732740783 33.2754456621422 15.2269983825106 3.35814208372121 4.17787667097484 11.7101245393995 16.2199554463719 19.4177131359326 9.41355499276528 20.5115476140145 1.18933053044247 11.1113979515687 9.89034451628146 6.86293241637588 11.8354206397023 9.82553911221906 12.1121759506272 7.16710657579703 4.69051638691195 18.5829240651595 9.26594253948065 18.2355193830865 10.799057324117 8.77831842673946 8.33707800203658 6.71185709330909 7.29257486803872 9.22288741277422 16.086078319263 15.1034732484121 1.89182687506218 4.54913289760153 3.15584432644005 4.75383301081043 2.8187327835367 7.54502191138611 4.08255749312589 7.00338678550803 2.51237795964352 5.10940939046409 7.3166444435542 4.49930070483079 5.77703811592516 1.34979439229526 0.597267349365671 1.53796110893539
"35" 35 47 "2009-11-23" 18.4430713348513 7.15607298117599 14.4062966150439 18.5676207700867 15.4103250323043 27.7163355995237 11.6657236718439 2.95729089528974 3.12759296701231 9.94180248489414 12.5971453885265 9.79297777884087 7.84565517642054 10.7289412449972 1.18933053044247 9.84382910207827 9.3160896329716 5.83822443349863 6.90359844335497 8.56389763410815 10.0562409219271 4.35945858610347 3.8278813983867 14.1774049083587 4.81332626797963 13.6453311544366 8.46138369295102 6.53262679356884 6.20093975183959 7.83548598744131 6.54386306994753 7.2560826159218 12.5415076286886 11.7074769029839 0.883135877171488 3.34832596261828 1.81225359422927 4.20298151959267 3.0396610585419 6.50805942397422 3.42781326040627 5.06979079295864 1.94196602330592 17.7513819779593 5.34229997905847 4.04343182149168 3.27222446168983 1.45047265966771 0.387502869941061 1.34565091577224
"36" 36 48 "2009-11-30" 10.8268079066785 4.96545827021881 11.3138133200028 13.4704197680879 14.4847627943251 21.7666666749832 8.86537251290953 2.61602106453105 2.4830927258299 8.42496892372617 9.65171044357289 4.85827883950293 6.53295609402908 5.74349401871602 1.18933053044247 8.48021145820176 8.61122553534312 4.97305975495896 4.07372808119414 7.46386669070695 8.20526231123749 2.71381432367922 3.11239398392012 10.6910086929536 2.62083121344918 9.59323279537164 6.62986174751072 4.75547644908046 4.49331678695906 7.64672782588234 5.77665152419302 5.63919449530787 8.75689627278479 8.45889732616424 0.484887457620788 2.55524925643392 1.16377916388641 3.65509479390365 3.21647611148067 5.30048086607576 2.88651588307141 3.60316649598202 1.55624133790614 40.1994627497497 3.62139776762593 3.56903308450183 1.84056107578738 1.53532341655676 0.324882091309753 1.1868946184524
"37" 37 49 "2009-12-07" 9.95944041773706 4.0059850376671 8.88568383036738 9.58269165130905 12.8254017550205 16.4261503970376 6.72998145464221 2.32571818116979 2.09542509622052 7.13555377769602 7.34120063640135 2.48244292157949 5.43825073567603 3.40828374613992 1.18933053044247 7.14412768521326 7.8282886217617 4.28155207836508 2.5579089214556 6.50590711557384 6.6251048531087 1.75350110362284 2.52642662920903 8.00027658388907 1.56134828686542 6.50501803639482 5.20411117278314 3.42582242225725 3.21012528972362 7.04129800900442 5.02912291702773 4.34965125402326 5.73459118988595 5.82797942265185 0.329326631896265 2.04339513550423 0.856882847680411 3.13570566379462 3.33534889199912 4.13099174023438 2.44541755096613 2.53413919672969 1.29824676921692 42.1940743918371 2.37617766154235 3.10283530622321 1.09424620294422 1.59759096317778 0.306200331728586 1.05596666425431
