"X" "week" "date" "X28542" "X29207" "X65473" "X78236" "X29905" "X76544" "X92055" "X42223" "X28310" "X95903" "X23665" "X80913" "X60088" "X36112" "X31905" "X68113" "X65305" "X23708" "X31314" "X23801" "X39534" "X79920" "X23511" "X94535" "X30905" "X22134" "X78234" "X92134" "X99506" "X9464" "X31409" "X89191" "X40121" "X98431" "X20889" "X59402" "X9094" "X32542" "X92278" "X99505" "X20762" "X22060" "X23604" "X32544" "X66442" "X28547" "X96859" "X33621" "X76311" "X32212" "X13602" "X84056" "X96319" "X96278" "X32214" "X96264" "X96860" "X92145" "X73503" "X45433" "X71110" "X79607" "X6349" "X62225" "X71459" "X9054" "X92136" "X85309" "X98278" "X96205" "X80840" "X20755" "X9096" "X9824" "X72099" "X96350" "X21702" "X80914" "X99011" "X32228" "X31547" "X82005" "X32570" "X73145" "X93246" "X9180" "X29152" "X98433" "X20310" "X99703" "X87117" "X9636" "X83648" "X29902" "X27531" "X9604" "X21010" "X32509" "X85707" "X78150"
"11" 12 11 "3/13/00" 0.007058006 0.005752164 0.005280917 0.008388643 0.00813778 0.007556571 0.005702162 0.005254444 0.00563529 0.006621972 0.005508567 0.003313132 0.003848013 0.007328673 0.00710457 0.003828223 0.005003973 0.005801568 0.007885528 0.005153927 0.010440562 0.002407531 0.005706619 0.00681402 0.006066164 0.004660594 0.008390394 0.007913904 0.00365423 NA 0.008477197 0.003337023 0.005005364 0.005155298 0.004133741 0.003365679 NA 0.009902114 0.003718487 NA 0.004497166 0.004575813 0.005433789 0.009923253 0.004634823 0.007439655 NA 0.010503047 0.005888824 0.010165381 0.002690971 0.003944854 NA NA 0.01020178 NA NA 0.007613279 0.005912277 0.004320348 0.008201558 0.005811642 0.003961942 0.004958738 0.00898236 NA 0.008067614 0.004241144 0.005537357 NA 0.003080253 0.004364458 NA NA 0.006579185 NA 0.004053562 0.003368434 0.004347931 0.01020178 0.009714427 0.0028613 0.009236084 0.005903312 0.007349858 0.004218213 0.005918972 0.005520977 0.004437672 NA 0.002461034 NA 0.003932013 0.007859801 0.005547528 NA 0.004359943 0.010315823 0.003368459 0.008409356
"12" 13 12 "3/20/00" 0.008104321 0.007847313 0.006411543 0.012170463 0.009169161 0.010847005 0.004537003 0.00700755 0.007268329 0.005755152 0.006493651 0.004013699 0.006154359 0.008533428 0.008547039 0.006298495 0.006524024 0.006686087 0.008990129 0.006474977 0.010007101 0.003557435 0.006600404 0.005548179 0.008128222 0.006278387 0.012168685 0.006749548 0.003685248 NA 0.009367637 0.002714042 0.006841867 0.005000574 0.00585019 0.003382712 NA 0.00957883 0.002918404 NA 0.00603409 0.006208297 0.006506214 0.009591004 0.00681735 0.008351655 NA 0.011278892 0.008374092 0.009970979 0.004309519 0.004027248 NA NA 0.010013576 NA NA 0.006276079 0.008207208 0.006737623 0.009839652 0.008378297 0.004599554 0.006456138 0.010110727 NA 0.006880731 0.003388271 0.005449872 NA 0.00367512 0.005961837 NA NA 0.008331425 NA 0.005741717 0.004036541 0.004178412 0.010013576 0.009811786 0.003547302 0.009155768 0.007808999 0.00547466 0.004380759 0.007892503 0.005336335 0.006068023 NA 0.004626724 NA 0.003587403 0.009020839 0.006962357 NA 0.005887811 0.009940248 0.002837729 0.012193688
"13" 14 13 "3/27/00" 0.00816962 0.007977843 0.005191492 0.011067524 0.010367248 0.00960301 0.005247091 0.005787961 0.007105293 0.005972763 0.006211831 0.003817545 0.004428204 0.010041939 0.010034434 0.004129878 0.005048241 0.00633344 0.010311972 0.005986079 0.012253295 0.003734796 0.00629398 0.005976672 0.008650359 0.005496227 0.011037235 0.007271446 0.003682397 NA 0.010595102 0.002946141 0.005495766 0.005330637 0.00504056 0.004028528 NA 0.012266675 0.003277791 NA 0.005385333 0.005427782 0.006160597 0.012256359 0.004974085 0.008388834 NA 0.012999154 0.00777376 0.011488276 0.004492121 0.004126622 NA NA 0.011516566 NA NA 0.006839014 0.00717222 0.005086192 0.010273881 0.007233382 0.005127054 0.004790602 0.011518268 NA 0.007368487 0.005096958 0.005548826 NA 0.003562238 0.005275186 NA NA 0.007218584 NA 0.004940678 0.003845745 0.004595399 0.011516566 0.011287455 0.003226032 0.011703382 0.006593763 0.006059405 0.005065248 0.008086041 0.005548849 0.005330054 NA 0.004889942 NA 0.003874825 0.010214256 0.006692687 NA 0.005374843 0.012347183 0.004031096 0.011071385
"14" 15 14 "4/3/00" 0.009345318 0.0074712 0.004834185 0.007266784 0.008387065 0.006805869 0.005787084 0.006734291 0.008053955 0.007517272 0.007746055 0.003843098 0.003942184 0.007924953 0.007825258 0.003711638 0.004281874 0.007997753 0.007603676 0.007617911 0.009287611 0.003494864 0.00787623 0.006930369 0.007473486 0.007223093 0.007345903 0.00799428 0.003700738 NA 0.008291553 0.002715316 0.006464058 0.005684297 0.006569201 0.00365448 NA 0.009046162 0.00357177 NA 0.007006139 0.007138858 0.007810233 0.009060405 0.004474507 0.009622145 NA 0.008973439 0.005638939 0.008073451 0.004824927 0.004323665 NA NA 0.008221017 NA NA 0.007652202 0.00563913 0.006148832 0.007646373 0.00479683 0.006367169 0.004939185 0.008066764 NA 0.008131179 0.003848313 0.005636783 NA 0.003560743 0.006915422 NA NA 0.006697149 NA 0.006381237 0.003854067 0.004487536 0.008221017 0.008159131 0.002927488 0.008735417 0.005629404 0.006624616 0.004961508 0.007641781 0.005893997 0.006970229 NA 0.004096988 NA 0.004271151 0.008241521 0.007966918 NA 0.007009352 0.009357309 0.002999818 0.007361109
"15" 16 15 "4/10/00" 0.01005543 0.008100024 0.006487227 0.011877271 0.009662634 0.010807784 0.005996335 0.007359857 0.00847293 0.00797537 0.007565247 0.004179697 0.004854682 0.008962427 0.008430794 0.005161273 0.006084187 0.007957605 0.008948632 0.007226151 0.011462279 0.003265137 0.007805795 0.007406932 0.008021296 0.006351994 0.011839677 0.008022911 0.002696515 NA 0.00969672 0.002991291 0.006963463 0.006646504 0.005669268 0.00392007 NA 0.010267002 0.003650784 NA 0.006129348 0.006211083 0.00753289 0.01032446 0.006100201 0.010383038 NA 0.011596446 0.009028619 0.010408059 0.004148326 0.00530234 NA NA 0.010470221 NA NA 0.007662913 0.008484086 0.006313497 0.009287874 0.009098069 0.004983234 0.006335464 0.009908685 NA 0.008149952 0.003609319 0.006666317 NA 0.004027637 0.005965853 NA NA 0.008483353 NA 0.005569704 0.004201119 0.006276177 0.010470221 0.01018948 0.003414354 0.009996062 0.008020924 0.007091617 0.004969841 0.008345687 0.007108646 0.006050215 NA 0.004183419 NA 0.005631023 0.009474196 0.008333843 NA 0.005992587 0.010960509 0.003144772 0.011861209
"16" 17 16 "4/17/00" 0.009773576 0.008879253 0.006803579 0.011390444 0.009876543 0.010279984 0.006684199 0.007232408 0.009262493 0.007280095 0.008666039 0.003945078 0.005724793 0.008332456 0.00796024 0.006654962 0.006859741 0.009017245 0.008997892 0.008529246 0.011285739 0.002906621 0.008868799 0.006984915 0.00832361 0.008077231 0.011349507 0.008219647 0.00245311 NA 0.009831253 0.003814132 0.007464183 0.006070298 0.007591069 0.004945 NA 0.010169716 0.004437227 NA 0.007843965 0.008012726 0.008682288 0.01022293 0.006716571 0.009934698 NA 0.011404164 0.00882534 0.009644252 0.005247568 0.00588481 NA NA 0.009818981 NA NA 0.00799796 0.008456947 0.00776869 0.010172393 0.008201639 0.006049388 0.006834529 0.011034798 NA 0.008337548 0.00396594 0.006045737 NA 0.004023429 0.007772945 NA NA 0.008289849 NA 0.007483504 0.003995878 0.005997741 0.009818981 0.009734645 0.004468616 0.009656465 0.008379515 0.007413599 0.00483594 0.009139796 0.006165352 0.007873442 NA 0.003183462 NA 0.006485234 0.009719717 0.009109365 NA 0.007667976 0.010916251 0.003246479 0.011377618
"17" 18 17 "4/24/00" 0.008921107 0.008345754 0.006232366 0.010701879 0.009703757 0.009481637 0.006477185 0.006730453 0.008280485 0.006440173 0.006872564 0.004830591 0.004814186 0.007787487 0.007850395 0.00697068 0.006439955 0.007114208 0.008933061 0.006858581 0.010175522 0.00398466 0.007023347 0.006246986 0.008168345 0.006459179 0.01064396 0.008662318 0.003134139 NA 0.009715602 0.002900863 0.005942133 0.005430624 0.005939415 0.003414665 NA 0.009957188 0.00353171 NA 0.006207081 0.006363573 0.006836369 0.009989494 0.007319626 0.009071772 NA 0.010987405 0.009094543 0.009529646 0.004337814 0.005136727 NA NA 0.00970688 NA NA 0.008363466 0.008525593 0.005238939 0.009531181 0.008714545 0.005122209 0.006399389 0.009971634 NA 0.008774507 0.003357555 0.005797571 NA 0.004679316 0.006091186 NA NA 0.007724701 NA 0.005845641 0.004848981 0.004908582 0.00970688 0.009706914 0.00487404 0.009187245 0.007982443 0.006390941 0.004291899 0.008415894 0.005758039 0.006209708 NA 0.004040733 NA 0.004540087 0.009531044 0.007927526 NA 0.006065489 0.01052915 0.002816454 0.010668982
"18" 19 18 "5/1/00" 0.010784795 0.010724822 0.011378536 0.013855374 0.011984177 0.012939009 0.006913722 0.011927129 0.01012327 0.007604188 0.009403517 0.004913868 0.009747518 0.010953085 0.010782841 0.009798667 0.011249679 0.009594787 0.010853289 0.009516005 0.013639547 0.003239957 0.00947721 0.007095337 0.01060869 0.009358699 0.013860079 0.009092717 0.003223951 NA 0.011927806 0.003650433 0.011009611 0.006072189 0.00875284 0.004428539 NA 0.012018213 0.004059431 NA 0.009250844 0.009336119 0.009525963 0.012125603 0.010972905 0.011042055 NA 0.010708958 0.011604574 0.011109685 0.007880925 0.006048598 NA NA 0.011341124 NA NA 0.008795834 0.011390873 0.010314698 0.013329661 0.010245568 0.007659512 0.0113925 0.013849494 NA 0.009225124 0.00318153 0.006276193 NA 0.004520872 0.009217186 NA NA 0.012857383 NA 0.008667161 0.004913736 0.005587448 0.011341124 0.011471567 0.005177868 0.011510812 0.011457393 0.006686012 0.0045247 0.010773458 0.006411627 0.009196318 NA 0.003643638 NA 0.005406182 0.011753862 0.009673454 NA 0.009304383 0.013073773 0.002368156 0.013881618
"19" 20 19 "5/8/00" 0.012935485 0.011685471 0.010223067 0.014305147 0.014024659 0.01302544 0.006433936 0.011265463 0.011869258 0.006853458 0.011200473 0.004274409 0.009998366 0.012790373 0.012516675 0.007952051 0.009959223 0.011397583 0.012661936 0.011042851 0.014993107 0.00367312 0.011306893 0.00654308 0.012005659 0.01116746 0.014301718 0.008382923 0.003299446 NA 0.01389507 0.003221626 0.01111768 0.006002925 0.010814857 0.003954632 NA 0.014047751 0.004177112 NA 0.011350669 0.011260968 0.011219053 0.014150305 0.008617478 0.013217332 NA 0.013970701 0.010763639 0.012790708 0.010162975 0.004971409 NA NA 0.013065313 NA NA 0.007972361 0.010523831 0.011148576 0.013857587 0.009526385 0.009531561 0.011284463 0.014304028 NA 0.008487591 0.004234388 0.006233621 NA 0.004092806 0.011521047 NA NA 0.012100481 NA 0.010759311 0.004259332 0.005273632 0.013065313 0.013360136 0.004205418 0.013562063 0.010999087 0.00615983 0.004643867 0.011843946 0.006299942 0.011270674 NA 0.003438114 NA 0.004815511 0.013749845 0.011474194 NA 0.012025604 0.015043607 0.003692639 0.014323674
"20" 21 20 "5/15/00" 0.011964766 0.010369292 0.009455981 0.014009724 0.013119547 0.012868552 0.006822674 0.009959653 0.010644883 0.00895664 0.010041291 0.004239411 0.007079675 0.011244035 0.01101081 0.009079864 0.009151313 0.010261928 0.011759197 0.009971944 0.013988867 0.003813264 0.010198232 0.008421207 0.010543427 0.009442904 0.014016526 0.00883714 0.002984191 NA 0.01309043 0.003906124 0.009593406 0.007731391 0.008798909 0.005617238 NA 0.013350921 0.004393377 NA 0.00913812 0.009316609 0.009946345 0.013450684 0.009022955 0.012265917 NA 0.012122475 0.00990714 0.012464123 0.00600853 0.005469116 NA NA 0.012776367 NA NA 0.008469494 0.009592624 0.009051331 0.012790327 0.010110136 0.006909469 0.009286899 0.012905812 NA 0.008947925 0.003778594 0.007632289 NA 0.004146833 0.00898524 NA NA 0.011593624 NA 0.008667705 0.00423985 0.006824659 0.012776367 0.012963834 0.005301185 0.012704598 0.009945809 0.008050362 0.004695322 0.010612633 0.00786389 0.009137631 NA 0.003437411 NA 0.005729132 0.012799846 0.010420447 NA 0.008904427 0.014401344 0.003051775 0.014035226
