day     case
37675	1
37676	0
37677	0
37678	1
37679	0
37680	1
37681	0
37682	0
37683	1
37684	0
37685	1
37686	0
37687	1
37688	0
37689	1
37690	1
37691	0
37692	2
37693	3
37694	0
37695	2
37696	2
37697	5
37698	7
37699	9
37700	7
37701	3
37702	4
37703	1
37704	4
37705	5
37706	7
37707	7
37708	7
37709	7
37710	3
37711	3
37712	5
37713	3
37714	5
37715	7
37716	4
37717	4
37718	2
37719	3
37720	1
37721	1
37722	1
37723	0
37724	0
37725	2
37726	1
37727	3
37728	2
37729	0
37730	1
37731	0
37732	0
37733	1
37734	0
37735	0
37736	1
37737	0
37738	0
37739	0
37740	1
37741	1
37742	1
37743	0
37744	1
37745	0
37746	0
37747	0
37748	1
37749	0
37750	2
37751	0
37752	3
37753	2
37754	2
37755	1
37756	2
37757	3
37758	4
37759	5
37760	5
37761	4
37762	6
37763	6
37764	4
37765	8
37766	5
37767	6
37768	7
37769	5
37770	9
37771	1
37772	2
37773	3
37774	1
37775	1
37776	2
37777	0
37778	0
37779	0
37780	2
37781	0
37782	0
37783	0
37784	1
