"","mean","sd"
"t0",241.25175080476,61.7070257227981
"pC",0.075340967901327,0.019689182479992
"R0",1.45298617857474,0.120028286274967
"seed",1.67033516477655,0.962974446877964
"e_nonflu",929.328945583767,163.416761664512
"delta",0.0493085482150581,0.262530272619851
"ts",283.332436267241,6.45665706563332
"dur",35.6547263816551,3.1239050688007
"AICc",39889.2847928779,0
"t0",216.116335833514,15.8856822537892
"pC",0.0773040780130728,0.017980550869103
"R0",1.07647840108401,0.10983561213095
"seed",1.95226871378628,1.85326722888944
"e_nonflu",12599.463517554,1685.16945671204
"delta",-0.494569925614345,0.138235865726549
"ts",320.323708239897,4.77864022782753
"dur",62.9310314037182,8.71012993466348
"AICc",42777.7691678779,0
"t0",314.440828299817,14.4696172001486
"pC",0.0651489585684037,0.0178147379776289
"R0",1.02171796633873,0.173989703647309
"seed",8.23738788086691,0.379816297628587
"e_nonflu",15343.3909143519,1171.64565336704
"delta",-0.0372993233096268,0.31540116421707
"ts",304.542257803458,3.99136088596514
"dur",42.0396774433277,9.85482923333462
"AICc",33912.0269803779,0
"t0",209.795081432955,16.1701277434746
"pC",0.0775601071891961,0.00965236360956127
"R0",1.4293676511741,0.199063344753944
"seed",2.54585305113851,0.332095515901456
"e_nonflu",18580.6236617477,1099.67925679615
"delta",0.781358388838945,0.190182322509533
"ts",249.585766450858,9.04650598186843
"dur",37.6037024274284,6.49171005402571
"AICc",36582.2652616279,0
"t0",245.282056078499,12.1459817028673
"pC",0.0812621835481237,0.010713711377023
"R0",0.735725747950283,0.181889136033637
"seed",8.5950817119928,0.407106448126255
"e_nonflu",10068.6380328897,1123.21438008204
"delta",0.153222767176268,0.730949139416894
"ts",280.21955815068,5.35536781936108
"dur",11.467897263574,6.1752221498419
"AICc",68972.4293241279,0
"t0",199.599216225706,14.4996788355327
"pC",0.154708573387729,0.0198207228114381
"R0",1.15457239857426,0.037959007607067
"seed",3.14847779862675,0.417126753919212
"e_nonflu",26654.4370418596,2576.94707312004
"delta",0.0730974712681433,0.0705420872171418
"ts",301.572225311656,8.73288733313598
"dur",57.8560786306122,5.92283671203489
"AICc",14116.0308866279,0
"t0",252.010416478287,25.4537087376149
"pC",0.0802641339416121,0.0230772344648188
"R0",0.709323855093968,0.116850785990343
"seed",8.28800627626019,0.394855312914773
"e_nonflu",1377.26406069155,176.53159124331
"delta",0.319243083690742,0.222155950864884
"ts",288.898179419247,8.4964043021403
"dur",26.3852147826074,9.88575720565129
"AICc",5734.52112100291,0
"t0",195.305554802035,13.1408155147701
"pC",0.0352777775698974,0.0148461879198011
"R0",1.53216409683228,0.123338002444003
"seed",8.53940343268124,0.237731444547906
"e_nonflu",1110.02727819372,234.458107243212
"delta",-0.542445419379223,0.196164596675096
"ts",312.900636272666,5.56629928456742
"dur",50.7061067746009,6.67881251066641
"AICc",16566.3511991279,0
"t0",211.917622318974,23.7518793166297
"pC",0.154877711869316,0.0419022145974475
"R0",0.989663863623584,0.0773950527290155
"seed",4.7649174840362,4.09695757138069
"e_nonflu",24278.900318287,1088.03611107585
"delta",0.0399071113263935,0.219897352927239
"ts",276.582425529574,9.96162780696674
"dur",14.3828451280241,8.42728452561129
"AICc",11601.4429960029,0
"t0",205.865711730204,22.3200906303967
"pC",0.0986430488158891,0.0358086665579568
"R0",1.04534734914332,0.0728335302707469
"seed",3.04967226216823,0.356440088443333
"e_nonflu",3010.2521852093,70.6389766187867
"delta",0.128698875548758,0.124619467818273
"ts",319.326620596426,15.3860639902751
"dur",71.2416965814284,11.5028371899707
"AICc",28756.1265897529,0
"t0",193.558716385453,6.25926741196798
"pC",0.0920277837617898,0.00862077635590464
"R0",1.08953367044896,0.00479937460466419
"seed",6.54723780832173,0.287974251472325
"e_nonflu",121087.492959105,4398.30005378349
"delta",0.969714591532578,0.0282855327212701
"ts",286.918435179157,9.49356582800452
"dur",18.4905858687413,1.08154519955162
"AICc",985.288001367973,78.257906705101
